Unnamed: 0,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE,LAT,LON,FIPSCNTY,CNTYNAME
241,ELCAJN_6_UNITA1,ngct,SDGE,45.42,11.9,11.97,12.03,6,46,1,1,3.17,19.17808219,3179.4,Cuyamaca Peak Energy Plant,Cuyamaca Peak Energy,55512,32.796491,-116.972071,73.0,San Diego
236,ELCAJN_7_GT1,ngct,SDGE,16.36,17.15,17.22,17.28,9,17,1,1,3.17,6.849315067999999,1145.2,El Cajon GT,El Cajon,301,32.7958,-116.9722,73.0,San Diego
43,ELKHIL_2_PL1X3,ngcc,PGE_valley,551.7,8.77,9.03,9.3,221,552,2,2,2.0,253.5055351,38619.0,ELK HILLS GENERATING PROJECT (AGGREGATE),Elk Hills Power,55400,35.280318,-119.470707,29.0,Kern
135,ELSEGN_2_UN1011,ngcc,SCE,263.0,9.29,9.55,9.81,106,263,1,1,2.0,121.0332103,18410.0,El Segundo Energy Center 5/6,El Segundo,330,33.910556,-118.425,37.0,Los Angeles
136,ELSEGN_2_UN2021,ngcc,SCE,263.68,9.29,9.55,9.81,106,264,1,1,2.0,121.0332103,18457.6,El Segundo Energy Center 7/8,El Segundo,330,33.910556,-118.425,37.0,Los Angeles
254,ESCNDO_6_PL1X2,ngct,SDGE,48.71,7.63,7.7,7.76,38,49,1,1,3.17,20.54794521,3409.7,Escondido Energy Center,"Escondido Energy Center, LLC",55538,33.1261,-117.1172,73.0,San Diego
242,ESCNDO_6_UNITB1,ngct,SDGE,48.04,11.9,11.97,12.03,13,49,1,1,3.17,20.273972600000004,3362.8,Enterprise,CalPeak Power - Enterprise,55513,33.121943,-117.117441,73.0,San Diego
234,ESCO_6_GLMQF,ngct,SDGE,49.9,6.97,7.04,7.1,113,50,1,1,3.17,21.09589041,3493.0,Goal Line Cogen,Goal Line,54749,33.1185,-117.0995,73.0,San Diego
144,ETIWND_2_UNIT1,ngct,SCE,33.6,8.02,8.08,8.15,12,34,1,1,3.17,14.24657534,2352.0,"New-Indy Ontario, LLC",New-Indy Ontario Mill,10427,34.045361,-117.540193,71.0,San Bernardino
173,ETIWND_6_GRPLND,ngct,SCE,46.0,11.9,11.97,12.03,17,46,1,1,3.17,19.45205479,3220.0,Grapeland Peaker,Grapeland Generating Station,56472,34.0903,-117.5343,71.0,San Bernardino
207,ETIWND_7_UNIT3,ngst,SCE,320.0,11.26,11.97,12.67,128,320,6,6,2.0,66.3803681,22400.0,ETIWANDA UNIT 3,Etiwanda Generating Station,331,34.09118,-117.52663,71.0,San Bernardino
208,ETIWND_7_UNIT4,ngst,SCE,320.0,11.26,11.97,12.67,128,320,6,6,2.0,66.3803681,22400.0,ETIWANDA UNIT 4,Etiwanda Generating Station,331,34.09118,-117.52663,71.0,San Bernardino
113,FRITO_1_LAY,ngct,PGE_valley,6.0,5.86,5.93,5.99,3,6,1,1,3.17,2.465753425,420.0,FRITO-LAY,Frito-Lay Cogen Plant,10110,35.395063,-119.321633,29.0,Kern
3,GATWAY_2_PL1X3,ngcc,PGE_bay,562.5,5.91,6.17,6.43,225,563,1,1,2.0,258.4870849,39375.0,Gateway Generating Station,Gateway Generating Station,56476,38.0175,-121.7587,13.0,Contra Costa
5,GILROY_1_UNIT,ngcc,PGE_bay,120.0,6.63,6.89,7.15,48,120,6,6,2.0,55.12915129,8400.0,GILROY COGEN,"Gilroy Energy Center, LLC",55810,36.999,-121.5363,85.0,Santa Clara
28,GILRPP_1_PL1X2,ngct,PGE_bay,95.4,11.9,11.96,12.03,34,96,1,1,3.17,40.21917808,6678.0,GILROY ENERGY CENTER UNITS 1 & 2 (AGGREGATE),"Gilroy Energy Center, LLC",55810,36.999,-121.5363,85.0,Santa Clara
27,GILRPP_1_PL3X4,ngct,PGE_bay,46.2,11.9,11.96,12.03,17,47,1,1,3.17,19.45205479,3234.0,Gilroy Energy Center Unit 3,"Gilroy Energy Center, LLC",55810,36.999,-121.5363,85.0,Santa Clara
185,GLNARM_7_UNIT1,ngct,SCE,22.07,8.06,8.13,8.19,8,23,1,1,3.17,9.315068493,1544.9,Glen Arm Power Plant 1,Glenarm,422,34.126,-118.1494,37.0,Los Angeles
186,GLNARM_7_UNIT2,ngct,SCE,22.3,8.06,8.13,8.19,8,23,1,1,3.17,9.315068493,1561.0,Glen Arm Power Plant 2,Glenarm,422,34.126,-118.1494,37.0,Los Angeles
187,GLNARM_7_UNIT3,ngct,SCE,44.83,8.06,8.13,8.19,16,45,1,1,3.17,18.90410959,3138.1,Glen Arm Power Plant 3,Glenarm,422,34.126,-118.1494,37.0,Los Angeles
188,GLNARM_7_UNIT4,ngct,SCE,42.42,8.06,8.13,8.19,15,43,1,1,3.17,17.80821918,2969.4,Glen Arm Power Plant 4,Glenarm,422,34.126,-118.1494,37.0,Los Angeles
178,GOLETA_6_ELLWOD,ngct,SCE,54.0,11.53,11.6,11.66,19,54,1,1,3.17,22.73972603,3780.0,Ellwood Generating Station,Ellwood,8076,34.431419,-119.900055,83.0,Santa Barbara
137,GOLETA_6_EXGEN,ngct,SCE,48.2,9.59,9.65,9.72,17,49,1,1,3.17,20.273972600000004,3374.0,"EXXON COMPANY, USA",ExxonMobil Santa Ynez Facility,50270,34.464819,-120.04436499999998,83.0,Santa Barbara
