SEQPLT18,YEAR,PSTATABB,PNAME,ORISPL,OPRNAME,OPRCODE,UTLSRVNM,UTLSRVID,SECTOR,BANAME,BACODE,NERC,SUBRGN,SRNAME,ISORTO,FIPSST,FIPSCNTY,CNTYNAME,LAT,LON
6480,2018,NC,NC 102 Project LLC,61610,Union Electric Membership Corp - (NC),19435,NC 102 Project LLC,61209,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,025,Cabarrus,35.2925,-80.4975
6481,2018,NC,NC Renewable Power - Elizabethtown,10380,Duke Energy Progress - (NC),3046,North Carolina Renewable Power,59621,IPP CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,017,Bladen,34.647155,-78.64151
6482,2018,NC,NC Renewable Power - Lumberton LLC,10382,Duke Energy Progress - (NC),3046,NC Renewable Power - Lumberton LLC,59593,IPP CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,155,Robeson,34.59,-78.9968
6483,2018,NC,NCEMC Anson Plant,56249,Duke Energy Progress - (NC),3046,North Carolina El Member Corp,13683,Electric Utility,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,007,Anson,34.968651,-79.921738
6484,2018,NC,NCEMC Hamlet Plant,56292,Duke Energy Progress - (NC),3046,North Carolina El Member Corp,13683,Electric Utility,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,153,Richmond,34.842311,-79.736087
6485,2018,NC,NCSU Cates Cogeneration Plant,61676,"Duke Energy Carolinas, LLC",5416,"NC State University, Energy Systems",61292,Commercial CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,183,Wake,35.784027,-78.674704
6486,2018,NC,NCSU CCUP Cogeneration Plant,61675,"Duke Energy Carolinas, LLC",5416,"NC State University, Energy Systems",61292,Commercial CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,183,Wake,35.775583,-78.673723
6487,2018,NC,Neisler Street Solar,60072,"Duke Energy Carolinas, LLC",5416,"Neisler Street Solar I, LLC",59825,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,045,Cleveland,35.289757,-81.568878
6488,2018,NC,Neuse River Solar Farm,58524,"Duke Energy Carolinas, LLC",5416,CleanCapital,62060,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,183,Wake,35.714444,-78.498889
6489,2018,NC,New Bern,56688,Duke Energy Progress - (NC),3046,Industrial Power Generating Company LLC,55938,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,049,Craven,35.1681,-77.2267
6490,2018,NC,New Bern Farm,58339,Duke Energy Progress - (NC),3046,New Bern Farm LLC,58325,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,049,Craven,35.209564,-77.056725
6491,2018,NC,Newton Grove,59835,Duke Energy Progress - (NC),3046,"SRE Utility Solar 1, LLC",61119,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,163,Sampson,35.251628,-78.367439
6492,2018,NC,Nick Solar,58741,"Duke Energy Carolinas, LLC",5416,"Sustainable Power Group, LLC",58661,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,081,Guilford,35.991111,-79.548056
