name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,CO2Tax,NOXTax,SO2Tax,PMTax
WALCRK_2_CTG4,ngct,SCE,96.49,7.875675458,8.005724982,8.070749744,34,97,1,1,3.17,40.54794521,6754.3,18.53734586,3.975743206,0.368678581,12.63779
WALCRK_2_CTG5,ngct,SCE,96.65,7.875675458,8.005724982,8.070749744,34,97,1,1,3.17,40.82191781,6765.5,18.95275863,3.737869599,0.376984708,12.63779
WOLFSK_1_UNITA1,ngct,PGE_valley,46.9,10.05242116,10.18247069,10.24749545,17,47,1,1,3.17,19.7260274,3283,22.75254032,2.757229372,0.137531397,4.476259
YUBACT_1_SUNSWT,ngct,PGE_valley,49.97,5.579807151,5.709856675,5.774881437,18,50,1,1,3.17,21.09589041,3497.9,18.98045841,9.5680196,0.269028,1.17131
YUBACT_6_UNITA1,ngct,PGE_valley,46,2.024087173,2.154136697,2.219161459,17,46,1,1,3.17,19.45205479,3220,24.58963549,3.696047552,0.064785305,1.172481
HELMS_PS,psh,PGE_valley,1212,0,0,0,0,1212,1,1,0,0,0,0,0,0,0
EASTWOOD_PS,psh,SCE,148,0,0,0,0,148,1,1,0,0,0,0,0,0,0
HODGES_PS,psh,SDGE,80,0,0,0,0,80,1,1,0,0,0,0,0,0,0
SLACK1,slack,PGE_valley,10000,10000,10000,10000,0,5000,1,1,0,10000000000,10000000000,0,0,0,0
SLACK2,slack,PGE_bay,10000,10000,10000,10000,0,5000,1,1,0,10000000000,10000000000,0,0,0,0
SLACK3,slack,SCE,10000,10000,10000,10000,0,5000,1,1,0,10000000000,10000000000,0,0,0,0
SLACK4,slack,SDGE,10000,10000,10000,10000,0,5000,1,1,0,10000000000,10000000000,0,0,0,0
SCE_hydro,hydro,SCE,2082.666175,0,0,0,0,455,1,1,0,0,0,0,0,0,0
PGEV_hydro,hydro,PGE_valley,4185.568692,0,0,0,0,725,1,1,0,0,0,0,0,0,0
P46I_SCE,imports,WECC_SCE,1716.274635,0,0,0,0,366,1,1,0,0,0,0,0,0,0
P46I_SDGE,imports,WECC_SDGE,99,0,0,0,0,99,1,1,0,0,0,0,0,0,0
P66I,imports,WECC_PGEV,4121.588058,0,0,0,0,860,1,1,0,0,0,0,0,0,0
P61I,imports,WECC_SCE,1323.032957,0,0,0,0,348,1,1,0,0,0,0,0,0,0
P45I,imports,WECC_SDGE,485,0,0,0,0,99,1,1,0,0,0,0,0,0,0
P24I,imports,WECC_PGEV,99,0,0,0,0,47,1,1,0,0,0,0,0,0,0
P42I,imports,WECC_SCE,438,0,0,0,0,47,1,1,0,0,0,0,0,0,0
