name,typ,zone,netcap,eGRID_Name,DOE,LAT,LON,FIPSCNTY,CNTYNAME,CO2rate(lbs/MWh),NOXrate(lbs/MWh),SO2rate(lbs/MWh),CO2Tax($/MWh),NOXTax($/MWh),SO2Tax($/MWh),PMTax($/MWh),NOX_lbs_MD ($/lb),SO2_lbs_MD ($/lb),PM_MD_KWH ($/MWh)
HOLGAT_1_BORAX,ngct,SCE,48.2,US Borax,50115,35.0329,-117.701,29,Kern,630.565,1.664,0.017,13.55148351,9.43904,0.104108,1.413492,5.6725,6.124,1.413492
HUMBPP_1_UNITS3,ngct,PGE_valley,65.08,Humboldt Bay,246,40.7415,-124.2103,23,Humboldt,1027.01,23.255,0.028,22.07148997,34.329031,0.106799,0.247253,1.4762,3.81425,0.247253
HUMBPP_6_UNITS,ngct,PGE_valley,97.62,Humboldt Bay,246,40.7415,-124.2103,23,Humboldt,1027.01,23.255,0.028,22.07148997,34.329031,0.106799,0.247253,1.4762,3.81425,0.247253
INDIGO_1_UNIT1,ngct,SCE,44,Indigo Generation Facility,55541,33.910873,-116.552994,65,Riverside,1274.93,0.237,0.007,27.39954306,2.350566,0.244853,2.940709,9.918,34.979,2.940709
INDIGO_1_UNIT2,ngct,SCE,44.53,Indigo Generation Facility,55541,33.910873,-116.552994,65,Riverside,1274.93,0.237,0.007,27.39954306,2.350566,0.244853,2.940709,9.918,34.979,2.940709
INDIGO_1_UNIT3,ngct,SCE,43.69,Indigo Generation Facility,55541,33.910873,-116.552994,65,Riverside,1274.93,0.237,0.007,27.39954306,2.350566,0.244853,2.940709,9.918,34.979,2.940709
INLDEM_5_UNIT1,ngcc,SCE,376.2,Inland Empire Energy Center,55853,33.738839,-117.170369,65,Riverside,864.59,0.045,0.004,18.5809189,0.44631,0.139916,2.940709,9.918,34.979,2.940709
INLDEM_5_UNIT2,ngcc,SCE,366.32,Inland Empire Energy Center,55853,33.738839,-117.170369,65,Riverside,864.59,0.045,0.004,18.5809189,0.44631,0.139916,2.940709,9.918,34.979,2.940709
KELSO_2_UNITS,ngct,PGE_bay,196,Mariposa Energy Project,57483,37.789167,-121.601944,1,Alameda,1281.88,0.134,0.007,27.54890563,1.5343,0.1949955,4.988439,11.45,27.8565,4.988439
KERNFT_1_UNITS,ngct,PGE_valley,52.4,Kern Front Limited,50494,35.51647,-119.040128,29,Kern,1217.49,3.205,0.033,26.165099,18.1803625,0.202092,1.413492,5.6725,6.124,1.413492
