,Source,Sink,Time,Value
414,PGE_valley,PGE_bay,31,2989.253956424387
415,PGE_valley,PGE_bay,32,3443.6260728318084
416,PGE_valley,PGE_bay,33,3585.7432016889534
417,PGE_valley,PGE_bay,34,3725.652680755543
418,PGE_valley,PGE_bay,35,3753.794216705147
419,PGE_valley,PGE_bay,36,3599.7313679299114
420,PGE_valley,PGE_bay,37,3575.576819452607
421,PGE_valley,PGE_bay,38,3512.0842019922457
422,PGE_valley,PGE_bay,39,3566.399437401742
423,PGE_valley,PGE_bay,40,3518.4893776860845
424,PGE_valley,PGE_bay,41,3743.1352070781086
425,PGE_valley,PGE_bay,42,3892.1528799300727
426,PGE_valley,PGE_bay,43,4444.003665302291
427,PGE_valley,PGE_bay,44,4386.344108346302
428,PGE_valley,PGE_bay,45,4244.854721988928
429,PGE_valley,PGE_bay,46,3967.6982635926456
430,PGE_valley,PGE_bay,47,3685.5096442062577
431,PGE_valley,PGE_bay,48,3371.925668986907
432,PGE_valley,SCE,25,327.30440297830455
433,PGE_valley,SCE,26,0.49149360882121673
434,PGE_valley,SCE,27,0.0
435,PGE_valley,SCE,28,0.0
436,PGE_valley,SCE,29,72.89720073335593
437,PGE_valley,SCE,30,0.0
438,PGE_valley,SCE,31,0.0
439,PGE_valley,SCE,32,0.0
440,PGE_valley,SCE,33,0.0
441,PGE_valley,SCE,34,147.14906369642958
442,PGE_valley,SCE,35,153.1034677569551
443,PGE_valley,SCE,36,697.3585533050153
444,PGE_valley,SCE,37,937.313212006258
445,PGE_valley,SCE,38,813.9096185303893
446,PGE_valley,SCE,39,671.0416250136457
447,PGE_valley,SCE,40,664.019188009434
448,PGE_valley,SCE,41,717.4925941115738
449,PGE_valley,SCE,42,713.1957602181351
450,PGE_valley,SCE,43,1254.3910821864192
451,PGE_valley,SCE,44,992.2136564596375
452,PGE_valley,SCE,45,433.63842573967486
453,PGE_valley,SCE,46,500.42032289230684
454,PGE_valley,SCE,47,170.59249002840858
455,PGE_valley,SCE,48,0.0
456,PGE_valley,SDGE,25,0.0
457,PGE_valley,SDGE,26,0.0
458,PGE_valley,SDGE,27,0.0
459,PGE_valley,SDGE,28,0.0
460,PGE_valley,SDGE,29,0.0
461,PGE_valley,SDGE,30,0.0
462,PGE_valley,SDGE,31,0.0
463,PGE_valley,SDGE,32,0.0
464,PGE_valley,SDGE,33,0.0
465,PGE_valley,SDGE,34,0.0
466,PGE_valley,SDGE,35,0.0
467,PGE_valley,SDGE,36,0.0
468,PGE_valley,SDGE,37,0.0
469,PGE_valley,SDGE,38,0.0
470,PGE_valley,SDGE,39,0.0
471,PGE_valley,SDGE,40,0.0
472,PGE_valley,SDGE,41,0.0
473,PGE_valley,SDGE,42,0.0
474,PGE_valley,SDGE,43,0.0
475,PGE_valley,SDGE,44,0.0
476,PGE_valley,SDGE,45,0.0
477,PGE_valley,SDGE,46,0.0
478,PGE_valley,SDGE,47,0.0
479,PGE_valley,SDGE,48,0.0
480,PGE_bay,PGE_valley,25,0.0
481,PGE_bay,PGE_valley,26,0.0
482,PGE_bay,PGE_valley,27,0.0
483,PGE_bay,PGE_valley,28,0.0
484,PGE_bay,PGE_valley,29,0.0
485,PGE_bay,PGE_valley,30,0.0
486,PGE_bay,PGE_valley,31,0.0
487,PGE_bay,PGE_valley,32,0.0
488,PGE_bay,PGE_valley,33,0.0
489,PGE_bay,PGE_valley,34,0.0
490,PGE_bay,PGE_valley,35,0.0
491,PGE_bay,PGE_valley,36,0.0
492,PGE_bay,PGE_valley,37,0.0
493,PGE_bay,PGE_valley,38,0.0
494,PGE_bay,PGE_valley,39,0.0
495,PGE_bay,PGE_valley,40,0.0
496,PGE_bay,PGE_valley,41,0.0
497,PGE_bay,PGE_valley,42,0.0
498,PGE_bay,PGE_valley,43,0.0
499,PGE_bay,PGE_valley,44,0.0
500,PGE_bay,PGE_valley,45,0.0
501,PGE_bay,PGE_valley,46,0.0
502,PGE_bay,PGE_valley,47,0.0
503,PGE_bay,PGE_valley,48,0.0
504,PGE_bay,PGE_bay,25,0.0
505,PGE_bay,PGE_bay,26,0.0
506,PGE_bay,PGE_bay,27,0.0
507,PGE_bay,PGE_bay,28,0.0
508,PGE_bay,PGE_bay,29,0.0
509,PGE_bay,PGE_bay,30,0.0
510,PGE_bay,PGE_bay,31,0.0
511,PGE_bay,PGE_bay,32,0.0
512,PGE_bay,PGE_bay,33,0.0
513,PGE_bay,PGE_bay,34,0.0
514,PGE_bay,PGE_bay,35,0.0
515,PGE_bay,PGE_bay,36,0.0
516,PGE_bay,PGE_bay,37,0.0
517,PGE_bay,PGE_bay,38,0.0
518,PGE_bay,PGE_bay,39,0.0
519,PGE_bay,PGE_bay,40,0.0
520,PGE_bay,PGE_bay,41,0.0
521,PGE_bay,PGE_bay,42,0.0
522,PGE_bay,PGE_bay,43,0.0
523,PGE_bay,PGE_bay,44,0.0
524,PGE_bay,PGE_bay,45,0.0
525,PGE_bay,PGE_bay,46,0.0
526,PGE_bay,PGE_bay,47,0.0
527,PGE_bay,PGE_bay,48,0.0
528,PGE_bay,SCE,25,0.0
529,PGE_bay,SCE,26,0.0
530,PGE_bay,SCE,27,0.0
531,PGE_bay,SCE,28,0.0
532,PGE_bay,SCE,29,0.0
533,PGE_bay,SCE,30,0.0
534,PGE_bay,SCE,31,0.0
535,PGE_bay,SCE,32,0.0
536,PGE_bay,SCE,33,0.0
537,PGE_bay,SCE,34,0.0
538,PGE_bay,SCE,35,0.0
539,PGE_bay,SCE,36,0.0
540,PGE_bay,SCE,37,0.0
541,PGE_bay,SCE,38,0.0
542,PGE_bay,SCE,39,0.0
543,PGE_bay,SCE,40,0.0
544,PGE_bay,SCE,41,0.0
